a   日曰
aa  昌晶暑間暗曙昍暙闍閶閽闇彞晿暏
ab  明晞晴閒昺晡暠暪曘曞冐昁昞暎閙
ac  暝闐題曠顥顯晪暊曊闠昗晎閧顕显曂閴
ad  杲昧閑旴冔暆閫闑晽曗暞暣韪
ae  曼最暇暖暴曖曝昄昅昹晙閿闅敡曃闎暧閖
af  景晾照煦暸闌闖炅炚晱焛暕煚暩暻鴠曛曣鱀鶗鶡鷃鷐鷴鷳曭曢焸焽闗鵾鶥鷼鶍
ag  旺量閏閨曜堲晊塈暀閮曈閵闉闛曤圼垦晆曪
ah  易閉暘影昒昐昜晜晹尟閟旫昣曑閁閕閯旸旸
ai  昤時閎閩閥曇旳昡戥暷时曧曯琞闘旷昖昙昿閝閠闏
aj  早旱暉暈聞曄闡闢旰閈晬暔閛暲曋暺旪旿昩晫暤暭曍曎閗閳晔晘曓
ak  昊映閔闋旲旼旻猒暌晸暯暾閺曒闃闞曮敭晈曔関闝闙
al  即昂昕晰閘昦昴郿鄤曏昻晣曱
am  旦昀星閂晅暄暨閆暡曌閾闒闟昰暒暳曐曡閸显暅暛暛曪甠鹍鹍鹖鹖鹛鹛
an  門剔旯昑昲閌閅闁
ao  是曷晁閃歇閡闕昃欥昳暵暰曚歞晀晐暶閄閦题颢
ap  昆匙悶曬昵曨恳惖巼昽
aq  闈暐暽韙闥曅晕晕晖晖曻
ar  昭晌問晤晷閣閤暱閭闊闆昫晑閜誾謈晍晗晧晭暿曕
as  昨勗曦昉昈昮晟晇勖閍昘昛晠朂韪
at  昇昱開盟闔關閞暟曀闓昷曥閚昪闦
au  巴冒既眉晃冕晚閱曉岊旵旽昢晥晛晼晻晲閐毼毷毾閹闀闚晄晩暁暚覵閲闂鼂晓晓覸閊鼌
av  艮晏晨暍曩閬闤妟暥曟闄闧
aw  晒闣閪
ax  閻閰
ay  晦閼昸閇暃
b   月
ba  脂睹貊賭膾贈胉眴腊睧腤膱賰瞷瞺睶貃赌赠趱朋肺骨脯睛賄膈冪瞞購髓肭豽睄睊睎睔腢膌瞝貒瞲膼臑矊髇幂朤眏眪瞩瞯肎脪腀腈腣膸贎髄冎幐爯眀瞒瞒矋脶脼腨贿髃
bc  貝具冥腆瞑瞋膩賺賸臏贖臢胑貁賏賟瞚膹頯瞶顐矉顝矌贔髍髕睓膁膭臔贘鑍頱瞔胁膑膑臁赚赠髌髌
bd  孚爭采脖睏睬睜瞇髁冞盱胣眛貤眯脬腜貅賝臊矂榺瞸罙肔腂腬賖賯冧朜睁胨胨脎脒覎觃觃骬
be  受服肢股爰販愛腹腺骰滕膝眅朘脙脧腏睖睩朡腶皸賕瞍骳貑臌臒雘矎矍貜冣冦眿睃睱瞹矆脉腵膄貱賐爱皲脲贩赇
